#cbsp,cbsp
1,0.009505220486221757
2,0.012507932071439251
3,0.011118624649040523
4,0.012257890115660636
5,0.011778597842214897
6,0.010098104371030545
7,0.01065485134571043
8,0.012173887459357963
9,0.012508516632492361
10,0.01202739864056536
11,0.012889810333323847
12,0.011806825096798297
13,0.010749972716137715
14,0.011833869432196359
15,0.01059489368205098
16,0.012209123782382656
17,0.012297444783553248
18,0.012474540637595155
19,0.012507870057147354
20,0.012138319237085388
21,0.011972045429886473
22,0.013646495774362508
23,0.012091027202361814
24,0.013420305651906736
25,0.013277042593440107
26,0.01155397753846602
27,0.01339395683522429
28,0.012850448679526116
29,0.013475006332707228
30,0.013476806635489348
31,0.011468655153925658
32,0.012193659005089445
33,0.012611228146809298
34,0.012465988618472127
35,0.012461780214658049
36,0.013208549176684832
37,0.011796001204765434
38,0.012572101479277073
39,0.0124344862244849
40,0.011176059477954352
41,0.011986941933270387
42,0.014414508193004041
43,0.012720996801554245
44,0.013838550727054916
45,0.012470115134932208
46,0.013255108265566843
47,0.011647805032031623
48,0.013299958983874082
49,0.013893192443439104
50,0.01280677768527838
51,0.01132169653684905
52,0.014640350919174233
53,0.014622061347551266
54,0.014657308853493227
55,0.016867091513273917
56,0.01303744343946362
57,0.012795995329784085
58,0.013891455752516732
59,0.013865872456634738
60,0.01261678779433884
61,0.014053904903182741
62,0.012868513140697091
63,0.012426565240836974
64,0.013371530749915372
65,0.013685535011908135
66,0.014665776347261008
67,0.01229665704216299
68,0.014389286235728526
69,0.014379128961141673
70,0.013495871022805313
71,0.014382956419948406
72,0.013940477549856757
73,0.013824246336795291
74,0.013353595836195256
75,0.015139444780410185
76,0.01390689281148852
77,0.013028457610676251
78,0.01417650630665969
79,0.013257552819972263
80,0.013514591935129945
81,0.013101297983110027
82,0.011012045184602215
83,0.012985124136898589
84,0.01773475841972379
85,0.013057128405497323
86,0.013024324292095484
87,0.014075378843842455
88,0.014288847901377806
89,0.012291599173131537
90,0.014442842048275813
91,0.013031475397974465
92,0.014446043409528
93,0.013446870719883331
94,0.015031730875878328
95,0.014195225476194319
96,0.013850587310926492
97,0.01342455167096141
98,0.012960199034977362
99,0.014546982360485737
100,0.013249802629779176
101,0.014129768000818055
102,0.013220044624049555
